uf,municipio,ibge,bairro,cep_inicio,cep_fim,qtd_ceps
RJ,Duque de Caxias,3301702,Bom Retiro,25230-090,25230-090,1
RJ,Duque de Caxias,3301702,Campos Elíseos,25215-040,25225-780,68
RJ,Duque de Caxias,3301702,Cangulo,25220-230,25220-578,38
RJ,Duque de Caxias,3301702,Capivari,25231-000,25245-804,38
RJ,Duque de Caxias,3301702,Carolina,25060-000,25071-240,27
RJ,Duque de Caxias,3301702,Centro,25010-002,25071-959,79
RJ,Duque de Caxias,3301702,Chácaras Arcampo,25251-000,25260-210,84
RJ,Duque de Caxias,3301702,Chácaras Maria Helena,25251-280,25255-570,6
RJ,Duque de Caxias,3301702,Chácaras Rio-Petrópolis,25213-020,25245-190,232
RJ,Duque de Caxias,3301702,Chacrinha,25051-100,25080-700,7
RJ,Duque de Caxias,3301702,Cidade dos Meninos,25237-010,25237-270,27
RJ,Duque de Caxias,3301702,Circular,25070-040,25070-480,8
RJ,Duque de Caxias,3301702,Coriolano,25041-470,25041-510,5
RJ,Duque de Caxias,3301702,Divino,25045-565,25046-420,7
RJ,Duque de Caxias,3301702,Doutor Laureano,25051-300,25060-240,21
RJ,Duque de Caxias,3301702,Engenho do Porto,25010-000,25015-610,39
RJ,Duque de Caxias,3301702,Fonseca,25221-350,25225-750,19
RJ,Duque de Caxias,3301702,Graças,25040-660,25045-001,30
RJ,Duque de Caxias,3301702,Gramacho,25035-190,25060-340,28
RJ,Duque de Caxias,3301702,Imbariê,25264-040,25275-470,52
RJ,Duque de Caxias,3301702,Itatiaia,25070-510,25070-514,3
RJ,Duque de Caxias,3301702,Jardim Anhangá,25264-000,25275-240,118
RJ,Duque de Caxias,3301702,Jardim Balneário Ana Clara,25221-000,25221-395,44
RJ,Duque de Caxias,3301702,Jardim Barro Branco,25267-010,25267-460,39
RJ,Duque de Caxias,3301702,Jardim Califórnia,25231-130,25231-130,1
RJ,Duque de Caxias,3301702,Jardim das Oliveiras,25045-120,25220-100,21
RJ,Duque de Caxias,3301702,Jardim Fim de Semana,25041-790,25041-790,1
RJ,Duque de Caxias,3301702,Jardim Glória,25045-515,25046-100,5
RJ,Duque de Caxias,3301702,Jardim Gramacho,25050-009,25065-250,180
RJ,Duque de Caxias,3301702,Jardim Guanabara,25050-550,25086-340,4
RJ,Duque de Caxias,3301702,Jardim Imbariê,25270-350,25275-610,73
RJ,Duque de Caxias,3301702,Jardim Leal,25035-245,25036-100,35
RJ,Duque de Caxias,3301702,Jardim Líder,25220-022,25220-720,8
RJ,Duque de Caxias,3301702,Jardim Mariana,25235-340,25271-010,12
RJ,Duque de Caxias,3301702,Jardim Maricen,25041-220,25042-470,6
RJ,Duque de Caxias,3301702,Jardim Nossa Senhora de Fátima,25040-651,25040-651,1
RJ,Duque de Caxias,3301702,Jardim Nossa Senhora do Carmo,25210-000,25215-185,3
RJ,Duque de Caxias,3301702,Jardim Olavo Bilac,25020-330,25020-330,1
RJ,Duque de Caxias,3301702,Jardim Olimpo,25250-010,25255-440,14
RJ,Duque de Caxias,3301702,Jardim Panamá,25080-655,25086-440,10
RJ,Duque de Caxias,3301702,Jardim Piratininga,25225-195,25225-710,12
RJ,Duque de Caxias,3301702,Jardim Porangaba,25045-470,25046-559,7
RJ,Duque de Caxias,3301702,Jardim Portugal,25046-430,25046-585,8
RJ,Duque de Caxias,3301702,Jardim Primavera,25210-005,25230-560,220
RJ,Duque de Caxias,3301702,Jardim Primeiro De Maio,25045-670,25045-670,1
RJ,Duque de Caxias,3301702,Jardim Rosário,25212-390,25220-730,25
RJ,Duque de Caxias,3301702,Jardim Rotsen,25267-150,25270-210,26
RJ,Duque de Caxias,3301702,Jardim Santa Rita,25212-060,25215-290,16
RJ,Duque de Caxias,3301702,Jardim Santana do Pilar,25210-010,25222-000,4
RJ,Duque de Caxias,3301702,Jardim Santos Meira,25041-600,25041-628,3
RJ,Duque de Caxias,3301702,Jardim São Lourenço,25041-520,25041-550,4
RJ,Duque de Caxias,3301702,Jardim Três Marias,25080-080,25080-666,9
RJ,Duque de Caxias,3301702,Jardim Vila Nova,25045-302,25045-379,55
RJ,Duque de Caxias,3301702,Jardim Vinte e Cinco de Agosto,25010-010,25080-216,95
RJ,Duque de Caxias,3301702,Jardim Vista Alegre,25235-005,25235-005,1
RJ,Duque de Caxias,3301702,Loteamento Cachoeira,25227-690,25227-690,1
RJ,Duque de Caxias,3301702,Mantiquira,25245-805,25253-712,82
RJ,Duque de Caxias,3301702,Nossa Senhora das Graças,25045-750,25046-310,9
RJ,Duque de Caxias,3301702,Nossa Senhora do Carmo,25040-390,25042-390,23
RJ,Duque de Caxias,3301702,Nova Campinas,25268-000,25268-430,57
RJ,Duque de Caxias,3301702,Olavo Bilac,25020-335,25036-610,105
RJ,Duque de Caxias,3301702,Parada Angélica,25266-003,25275-580,52
RJ,Duque de Caxias,3301702,Parada Morabi,25264-140,25265-675,62
RJ,Duque de Caxias,3301702,Parque A Equitativa,25260-300,25260-590,41
RJ,Duque de Caxias,3301702,Parque Alvorada,25045-415,25045-790,12
RJ,Duque de Caxias,3301702,Parque Beira Mar,25080-240,25086-415,48
RJ,Duque de Caxias,3301702,Parque Boa Vista I,25085-400,25085-480,6
RJ,Duque de Caxias,3301702,Parque Boa Vista II,25085-300,25085-900,9
RJ,Duque de Caxias,3301702,Parque Centenário,25025-237,25030-650,40
RJ,Duque de Caxias,3301702,Parque Chuno,25222-210,25223-362,18
RJ,Duque de Caxias,3301702,Parque Comercial,25041-730,25042-540,5
RJ,Duque de Caxias,3301702,Parque das Missões,25086-450,25086-570,23
RJ,Duque de Caxias,3301702,Parque do Carmo,25040-652,25264-240,9
RJ,Duque de Caxias,3301702,Parque Duque,25075-135,25085-620,39
RJ,Duque de Caxias,3301702,Parque Duque De Caxias,25085-000,25085-130,3
RJ,Duque de Caxias,3301702,Parque Eldorado,25240-014,25243-310,63
RJ,Duque de Caxias,3301702,Parque Esperança,25045-380,25046-120,11
RJ,Duque de Caxias,3301702,Parque Estrela,25266-010,25275-510,25
RJ,Duque de Caxias,3301702,Parque Felicidade,25075-205,25086-320,37
RJ,Duque de Caxias,3301702,Parque Fluminense,25041-190,25046-600,77
RJ,Duque de Caxias,3301702,Parque Guararapes,25212-170,25212-540,10
RJ,Duque de Caxias,3301702,Parque Império,25215-285,25215-520,39
RJ,Duque de Caxias,3301702,Parque Independência,25211-130,25215-530,30
RJ,Duque de Caxias,3301702,Parque João Pessoa,25211-295,25220-750,19
RJ,Duque de Caxias,3301702,Parque Lafaiete,25010-301,25025-970,108
RJ,Duque de Caxias,3301702,Parque Laguna e Dourados,25010-005,25011-355,12
RJ,Duque de Caxias,3301702,Parque Marilandia,25225-000,25225-735,36
RJ,Duque de Caxias,3301702,Parque Moderno,25222-190,25223-365,5
RJ,Duque de Caxias,3301702,Parque Muísa,25045-435,25046-240,22
RJ,Duque de Caxias,3301702,Parque Nossa Senhora da Penha,25235-260,25235-270,11
RJ,Duque de Caxias,3301702,Parque Nova Esperança,25044-030,25046-130,10
RJ,Duque de Caxias,3301702,Parque Panorama,25045-480,25046-610,5
RJ,Duque de Caxias,3301702,Parque Paulicéia,25070-030,25080-505,19
RJ,Duque de Caxias,3301702,Parque Paulista,25251-460,25265-100,53
RJ,Duque de Caxias,3301702,Parque Redentor,25080-590,25086-300,8
RJ,Duque de Caxias,3301702,Parque Samirópolis,25041-410,25042-400,9
RJ,Duque de Caxias,3301702,Parque Santa Lúcia,25086-190,25271-310,17
RJ,Duque de Caxias,3301702,Parque Santa Marta,25085-180,25086-263,7
RJ,Duque de Caxias,3301702,Parque Santa Rosa,25275-390,25275-455,4
RJ,Duque de Caxias,3301702,Parque Santo Antônio,25235-030,25271-180,11
RJ,Duque de Caxias,3301702,Parque São Bento,25045-020,25045-069,9
RJ,Duque de Caxias,3301702,Parque São Carlos,25041-430,25042-350,4
RJ,Duque de Caxias,3301702,Parque São João,25233-250,25235-290,28
RJ,Duque de Caxias,3301702,Parque São Pedro de Alcantara,25211-340,25215-215,7
RJ,Duque de Caxias,3301702,Parque Sarapuí,25050-215,25060-660,6
RJ,Duque de Caxias,3301702,Parque Senhor do Bonfim,25020-300,25030-130,31
RJ,Duque de Caxias,3301702,Parque Uruguaiana,25211-120,25212-970,37
RJ,Duque de Caxias,3301702,Parque Vila Nova,25011-540,25011-588,21
RJ,Duque de Caxias,3301702,Parque Vitória,25045-490,25045-540,7
RJ,Duque de Caxias,3301702,Parque Xerém,25241-390,25250-582,63
RJ,Duque de Caxias,3301702,Pilar,25230-276,25243-470,110
RJ,Duque de Caxias,3301702,Quatorze de Julho,25055-540,25065-350,2
RJ,Duque de Caxias,3301702,Santa Alice,25250-220,25250-220,1
RJ,Duque de Caxias,3301702,Santa Cruz da Serra,25240-005,25265-970,38
RJ,Duque de Caxias,3301702,Santa Lúcia,25266-005,25275-740,152
RJ,Duque de Caxias,3301702,Santo Antônio,25231-110,25253-710,65
RJ,Duque de Caxias,3301702,Santo Antônio da Serra,25251-745,25251-900,2
RJ,Duque de Caxias,3301702,São Bento,25040-004,25050-066,40
RJ,Duque de Caxias,3301702,Saracuruna,25211-010,25220-740,102
RJ,Duque de Caxias,3301702,Silva,25233-070,25233-125,4
RJ,Duque de Caxias,3301702,Silva Cardoso,25233-090,25233-090,1
RJ,Duque de Caxias,3301702,Taquara,25270-010,25275-560,78
RJ,Duque de Caxias,3301702,Vila Actura,25225-015,25225-700,31
RJ,Duque de Caxias,3301702,Vila Amélia,25025-090,25025-160,3
RJ,Duque de Caxias,3301702,Vila Angélica,25272-200,25275-550,58
RJ,Duque de Caxias,3301702,Vila Araci,25266-000,25272-600,15
RJ,Duque de Caxias,3301702,Vila Bela Vista,25015-035,25015-140,5
RJ,Duque de Caxias,3301702,Vila Bernadete,25272-020,25272-660,13
RJ,Duque de Caxias,3301702,Vila Bonança,25255-450,25255-522,14
RJ,Duque de Caxias,3301702,Vila Caetano Madeira,25050-560,25050-665,6
RJ,Duque de Caxias,3301702,Vila Campanaro,25015-060,25015-155,3
RJ,Duque de Caxias,3301702,Vila Canaan,25255-130,25260-090,31
RJ,Duque de Caxias,3301702,Vila Capixaba,25267-135,25275-540,9
RJ,Duque de Caxias,3301702,Vila Centenário,25020-135,25030-520,44
RJ,Duque de Caxias,3301702,Vila Cocota,25265-006,25275-220,11
RJ,Duque de Caxias,3301702,Vila Constança de Calvos,25065-136,25065-195,2
RJ,Duque de Caxias,3301702,Vila Ema,25266-006,25275-452,14
RJ,Duque de Caxias,3301702,Vila Esperança,25272-570,25272-570,1
RJ,Duque de Caxias,3301702,Vila Flávia,25010-150,25011-470,10
RJ,Duque de Caxias,3301702,Vila Guanabara,25065-005,25086-235,20
RJ,Duque de Caxias,3301702,Vila Ideal,25010-330,25011-480,34
RJ,Duque de Caxias,3301702,Vila Irene,25272-590,25272-590,1
RJ,Duque de Caxias,3301702,Vila Itamarati,25070-096,25070-450,22
RJ,Duque de Caxias,3301702,Vila Leopoldina,25030-020,25070-300,106
RJ,Duque de Caxias,3301702,Vila Maria Helena,25251-220,25255-610,51
RJ,Duque de Caxias,3301702,Vila Meriti,25020-060,25025-560,19
RJ,Duque de Caxias,3301702,Vila Nossa Senhora das Graças,25250-020,25250-290,9
RJ,Duque de Caxias,3301702,Vila Oito de Maio,25075-160,25086-400,8
RJ,Duque de Caxias,3301702,Vila Operária,25080-285,25250-295,43
RJ,Duque de Caxias,3301702,Vila Ouro Preto,25055-470,25065-280,5
RJ,Duque de Caxias,3301702,Vila Paula,25010-210,25020-270,6
RJ,Duque de Caxias,3301702,Vila Rosário,25040-003,25045-730,63
RJ,Duque de Caxias,3301702,Vila Santa Alice,25250-000,25250-400,41
RJ,Duque de Caxias,3301702,Vila Santa Cruz,25240-010,25260-610,116
RJ,Duque de Caxias,3301702,Vila Santo Antônio,25040-055,25042-550,88
RJ,Duque de Caxias,3301702,Vila São João,25010-270,25015-160,4
RJ,Duque de Caxias,3301702,Vila São Judas Tadeu,25243-052,25243-605,32
RJ,Duque de Caxias,3301702,Vila São Luís,25055-009,25086-200,92
RJ,Duque de Caxias,3301702,Vila São Pedro,25040-340,25041-455,2
RJ,Duque de Caxias,3301702,Vila São Sebastião,25050-440,25065-360,20
RJ,Duque de Caxias,3301702,Vila Sapê,25275-180,25275-430,10
RJ,Duque de Caxias,3301702,Vila Sarapuí,25050-006,25060-006,45
RJ,Duque de Caxias,3301702,Vila Sheila,25251-690,25251-690,1
RJ,Duque de Caxias,3301702,Vila Sossego,25046-590,25046-595,2
RJ,Duque de Caxias,3301702,Vila Teresa,25041-570,25042-370,5
RJ,Duque de Caxias,3301702,Vila Urussaí,25211-150,25215-535,20
RJ,Duque de Caxias,3301702,Xerém,25212-620,25250-747,111
RJ,Engenheiro Paulo de Frontin,3301801,Centro,26650-959,26660-970,3
RJ,Engenheiro Paulo de Frontin,3301801,Morro Azul do Tinguá,26650-971,26650-971,1
RJ,Guapimirim,3301850,Área Rural de Guapimirm,25949-899,25949-899,1
RJ,Guapimirim,3301850,Bananal,25946-440,25946-509,24
RJ,Guapimirim,3301850,Barreira,25948-380,25948-420,9
RJ,Guapimirim,3301850,Cadetes Fabres,25943-650,25944-150,52
RJ,Guapimirim,3301850,Caneca Fina,25949-280,25949-570,59
RJ,Guapimirim,3301850,Cantagalo,25945-300,25945-440,38
RJ,Guapimirim,3301850,Centro,25946-070,25946-970,74
RJ,Guapimirim,3301850,Cidade Jardim Guapimirim,25943-350,25943-422,26
RJ,Guapimirim,3301850,Citrolândia,25942-200,25942-520,65
RJ,Guapimirim,3301850,Corujas,25948-100,25948-210,23
RJ,Guapimirim,3301850,Cotia,25947-000,25947-110,38
RJ,Guapimirim,3301850,Espinhaço,25945-610,25945-620,2
RJ,Guapimirim,3301850,Garrafão,25948-500,25948-532,9
RJ,Guapimirim,3301850,Iconha,25949-000,25949-275,56
RJ,Guapimirim,3301850,Limoeiro,25948-630,25948-895,54
RJ,Guapimirim,3301850,Monte Oliveti,25948-220,25948-284,17
RJ,Guapimirim,3301850,Nova Marília,25941-060,25941-185,26
RJ,Guapimirim,3301850,Orindi,25947-770,25947-790,6
RJ,Guapimirim,3301850,Paiol,25945-850,25945-892,15
RJ,Guapimirim,3301850,Parada Ideal,25942-620,25942-895,46
RJ,Guapimirim,3301850,Parada Modelo,25943-470,25943-638,57
RJ,Guapimirim,3301850,Paraíso,25949-840,25949-885,10
RJ,Guapimirim,3301850,Parque Fleixal,25946-280,25946-349,24
RJ,Guapimirim,3301850,Parque Nossa Senhora da Ajuda,25941-400,25941-660,27
RJ,Guapimirim,3301850,Parque Santa Eugênia,25943-200,25943-320,30
RJ,Guapimirim,3301850,Parque Silvestre,25945-530,25945-598,18
RJ,Guapimirim,3301850,Quinta Mariana,25946-520,25946-568,17
RJ,Guapimirim,3301850,Segredo,25946-680,25946-705,6
RJ,Guapimirim,3301850,Vale das Pedrinhas,25940-270,25940-805,108
RJ,Guapimirim,3301850,Vale Jequitibá,25946-580,25946-631,21
RJ,Guapimirim,3301850,Várzea Alegre,25940-050,25940-155,36
RJ,Guapimirim,3301850,Vila Olímpia,25940-160,25940-238,27
RJ,Iguaba Grande,3301876,Centro,28960-959,28960-970,2
RJ,Iguaba Grande,3301876,Cidade Nova,28960-971,28960-971,1
RJ,Iguaba Grande,3301876,Iguaba Grande,28960-976,28960-976,1
RJ,Iguaba Grande,3301876,Pedreira,28960-975,28960-975,1
RJ,Iguaba Grande,3301876,Vila Nova,28960-974,28960-974,1
RJ,Itaboraí,3301900,Agro Brasil,24842-500,24842-670,18
RJ,Itaboraí,3301900,Aldeia da Prata,24858-000,24858-088,17
RJ,Itaboraí,3301900,Alto do Jacú,24841-200,24841-375,36
RJ,Itaboraí,3301900,Ampliação,24808-000,24808-464,119
RJ,Itaboraí,3301900,Apolo II,24858-500,24858-680,47
RJ,Itaboraí,3301900,Área Rural de Itaboraí,24889-899,24889-899,1
RJ,Itaboraí,3301900,Areal,24800-550,24800-858,66
RJ,Itaboraí,3301900,Badureco,24810-400,24810-512,29
RJ,Itaboraí,3301900,Bela Vista,24809-000,24809-176,45
RJ,Itaboraí,3301900,Caluge,24808-500,24808-620,31
RJ,Itaboraí,3301900,Calundu,24806-550,24806-970,16
RJ,Itaboraí,3301900,Centro,24800-001,24875-970,321
RJ,Itaboraí,3301900,Chácara Iguá,24805-300,24805-335,8
RJ,Itaboraí,3301900,Chácaras Bela Vista,24840-400,24840-452,14
RJ,Itaboraí,3301900,City Areal,24815-400,24815-540,36
RJ,Itaboraí,3301900,Colônia,24805-000,24805-900,2
RJ,Itaboraí,3301900,Curuzu,24851-000,24851-300,2
RJ,Itaboraí,3301900,Engenho Velho,24803-000,24803-070,16
RJ,Itaboraí,3301900,Esperança,24802-105,24802-760,135
RJ,Itaboraí,3301900,Gebara,24867-400,24867-970,33
RJ,Itaboraí,3301900,Grande Rio,24866-000,24866-970,56
RJ,Itaboraí,3301900,Granjas Cabuçu,24860-400,24860-488,23
RJ,Itaboraí,3301900,Granjas Mirassol,24847-000,24847-130,14
RJ,Itaboraí,3301900,Itamarati,24876-000,24876-185,33
RJ,Itaboraí,3301900,Itaville,24805-600,24805-756,44
RJ,Itaboraí,3301900,Jardim Ferma,24815-170,24815-318,38
RJ,Itaboraí,3301900,Jardim Imperial,24800-240,24800-345,36
RJ,Itaboraí,3301900,Jardim Itambi,24868-240,24868-460,56
RJ,Itaboraí,3301900,João Caetano,24866-400,24866-700,76
RJ,Itaboraí,3301900,Joaquim de Oliveira,24813-504,24813-704,55
RJ,Itaboraí,3301900,Marambaia,24859-300,24859-700,96
RJ,Itaboraí,3301900,Maravilha,24875-500,24875-545,10
RJ,Itaboraí,3301900,Monte Verde,24857-500,24857-604,27
RJ,Itaboraí,3301900,Morada do Sol I,24865-530,24865-970,59
RJ,Itaboraí,3301900,Morada do Sol II,24865-200,24865-495,60
RJ,Itaboraí,3301900,Nancilândia,24801-000,24801-116,30
RJ,Itaboraí,3301900,Nova Cidade,24804-000,24804-198,67
RJ,Itaboraí,3301900,Novo Horizonte,24860-000,24860-168,43
RJ,Itaboraí,3301900,Outeiro das Pedras,24812-150,24812-970,57
RJ,Itaboraí,3301900,Parque Aurora,24867-000,24867-108,28
RJ,Itaboraí,3301900,Parque Nova Friburgo,24843-000,24843-130,14
RJ,Itaboraí,3301900,Peróbas,24845-000,24845-100,3
RJ,Itaboraí,3301900,Picos,24806-050,24806-300,13
RJ,Itaboraí,3301900,Quinta dos Colibris,24840-100,24840-304,23
RJ,Itaboraí,3301900,Quissamã,24804-250,24804-493,85
RJ,Itaboraí,3301900,Recanto dos Magalhães,24850-000,24850-050,11
RJ,Itaboraí,3301900,Retiro,24815-000,24815-104,27
RJ,Itaboraí,3301900,Retiro São Joaquim,24813-000,24813-357,120
RJ,Itaboraí,3301900,Rio Várzea,24812-000,24812-128,31
RJ,Itaboraí,3301900,Santo Antônio,24856-500,24856-748,65
RJ,Itaboraí,3301900,Santo Expedito,24812-380,24812-520,36
RJ,Itaboraí,3301900,São José,24852-500,24852-970,24
RJ,Itaboraí,3301900,São Miguel,24861-000,24861-060,16
RJ,Itaboraí,3301900,Sapê,24810-000,24810-192,49
RJ,Itaboraí,3301900,Sossego,24800-350,24800-470,36
RJ,Itaboraí,3301900,Três Pontes,24809-230,24809-282,14
RJ,Itaboraí,3301900,Venda das Pedras,24804-640,24804-793,48
RJ,Itaboraí,3301900,Vila Brasil,24859-000,24859-180,42
RJ,Itaboraí,3301900,Vila Gabriela,24856-000,24856-236,64
RJ,Itaboraí,3301900,Vila Rica,24801-120,24801-290,18
RJ,Itaboraí,3301900,Vila Verde,24850-700,24850-815,24
RJ,Itaboraí,3301900,Vila Visconde,24878-000,24878-140,30
RJ,Itaboraí,3301900,Village do Sol,24877-465,24877-855,72
RJ,Itaguaí,3302007,Águas Lindas,23835-750,23836-650,23
RJ,Itaguaí,3302007,Amendoeira,23811-150,23822-520,25
RJ,Itaguaí,3302007,Área Rrual de Itaguaí,23859-899,23859-899,1
RJ,Itaguaí,3302007,Boa Esperança,23836-320,23836-360,9
RJ,Itaguaí,3302007,Brisa Mar,23822-205,23826-470,134
RJ,Itaguaí,3302007,Cabral,23835-850,23835-850,1
RJ,Itaguaí,3302007,Caçador,23821-670,23822-070,4
RJ,Itaguaí,3302007,Califórnia,23810-120,23812-470,17
RJ,Itaguaí,3302007,Campo Lindo,23845-740,23845-740,1
RJ,Itaguaí,3302007,Centro,23810-200,23821-250,127
RJ,Itaguaí,3302007,Chaperó,23812-240,23831-510,95
RJ,Itaguaí,3302007,Cidade Industrial,23835-700,23836-830,22
RJ,Itaguaí,3302007,Coroa Grande,23820-800,23826-970,33
RJ,Itaguaí,3302007,Dom Bosco,23845-780,23845-780,7
RJ,Itaguaí,3302007,Ecologia,23850-600,23850-600,1
RJ,Itaguaí,3302007,Engenho,23812-320,23822-680,93
RJ,Itaguaí,3302007,Estrela do Céu,23811-470,23850-760,14
RJ,Itaguaí,3302007,Fazenda Caxias,23830-420,23835-540,38
RJ,Itaguaí,3302007,Fonte Limpa,23835-030,23835-250,12
RJ,Itaguaí,3302007,Ibituporanga,23810-211,23835-680,13
RJ,Itaguaí,3302007,Ilha da Madeira,23821-280,23826-690,27
RJ,Itaguaí,3302007,Itimirim,23825-340,23826-889,18
RJ,Itaguaí,3302007,Jardim Acácias,23845-020,23845-210,5
RJ,Itaguaí,3302007,Jardim América,23810-000,23815-665,48
RJ,Itaguaí,3302007,Jardim Central,23845-370,23845-370,1
RJ,Itaguaí,3302007,Jardim Laiá,23820-010,23822-530,13
RJ,Itaguaí,3302007,Jardim Mar,23821-140,23823-150,13
RJ,Itaguaí,3302007,Leandro,23826-210,23826-523,20
RJ,Itaguaí,3302007,Mazomba,23825-530,23830-660,31
RJ,Itaguaí,3302007,Monte Serrat,23810-320,23812-400,38
RJ,Itaguaí,3302007,Nazare,23840-020,23840-280,28
RJ,Itaguaí,3302007,Parque Campo Lindo,23845-030,23845-680,34
RJ,Itaguaí,3302007,Parque Dom Bosco,23845-380,23845-570,6
RJ,Itaguaí,3302007,Parque Independência,23810-523,23812-520,11
RJ,Itaguaí,3302007,Parque Jocimar,23850-310,23850-320,20
RJ,Itaguaí,3302007,Parque Paraíso,23810-420,23815-115,7
RJ,Itaguaí,3302007,Parque Primavera,23830-005,23855-006,35
RJ,Itaguaí,3302007,Parque São Jorge,23845-130,23845-230,19
RJ,Itaguaí,3302007,Parque Vera Cruz,23850-280,23850-280,20
RJ,Itaguaí,3302007,Pau Cheiroso,23840-000,23840-270,3
RJ,Itaguaí,3302007,Piranema,23810-095,23855-380,72
RJ,Itaguaí,3302007,Ponte Preta,23812-160,23812-780,6
RJ,Itaguaí,3302007,Progresso,23810-460,23810-470,4
RJ,Itaguaí,3302007,Raiz da Serra,23812-690,23835-860,2
RJ,Itaguaí,3302007,Santa Alice,23840-010,23840-260,2
RJ,Itaguaí,3302007,Santa Cândida,23819-190,23830-640,25
RJ,Itaguaí,3302007,Santa Sofia,23835-090,23836-810,22
RJ,Itaguaí,3302007,Santana,23810-080,23811-510,16
RJ,Itaguaí,3302007,São José,23812-310,23812-430,2
RJ,Itaguaí,3302007,São Miguel,23835-610,23837-140,50
RJ,Itaguaí,3302007,São Salvador,23810-285,23822-040,38
RJ,Itaguaí,3302007,Seropedica,23845-320,23850-190,22
RJ,Itaguaí,3302007,Somel,23825-140,23826-040,19
RJ,Itaguaí,3302007,Teixeiras,23819-000,23822-230,29
RJ,Itaguaí,3302007,Vila Geny,23812-760,23826-959,48
RJ,Itaguaí,3302007,Vila Ibirapitanga,23810-270,23835-006,90
RJ,Itaguaí,3302007,Vila Margarida,23815-160,23825-840,41
RJ,Itaguaí,3302007,Vila Paraíso,23825-200,23826-200,8
RJ,Itaguaí,3302007,Vilar dos Coqueiros,23826-700,23826-800,9
RJ,Itaguaí,3302007,Vista Alegre,23820-050,23820-275,6
RJ,Itaguaí,3302007,Weda,23820-101,23822-730,23
RJ,Italva,3302056,Centro,28250-959,28250-970,2
RJ,Italva,3302056,Cimento Paraíso,28250-973,28250-973,1
RJ,Italva,3302056,São Pedro do Paraíso,28250-974,28250-974,1
RJ,Itaocara,3302106,Centro,28570-959,28590-970,5
RJ,Itaocara,3302106,Coronel Teixeira,28570-971,28570-971,1
RJ,Itaocara,3302106,Engenho Central,28570-972,28570-972,1
RJ,Itaocara,3302106,Portela,28595-970,28595-970,1
RJ,Itaperuna,3302205,Are,28335-970,28335-970,1
RJ,Itaperuna,3302205,Centro,28300-900,28348-970,9
RJ,Itaperuna,3302205,Governador Roberto Silveira,28300-975,28302-959,2
RJ,Itaperuna,3302205,Niterói,28300-974,28301-959,2
RJ,Itaperuna,3302205,Raposo,28333-970,28333-970,1
RJ,Itatiaia,3302254,Centro,27580-970,27580-970,1
RJ,Itatiaia,3302254,Fazenda Penedo,27598-959,27598-970,2
RJ,Itatiaia,3302254,Vila de Maringá,27580-972,27580-972,1
RJ,Itatiaia,3302254,Vila Odete,27580-971,27580-971,1
RJ,Japeri,3302270,Alecrim,26455-350,26470-400,15
RJ,Japeri,3302270,Área Rural de Japeri,26499-899,26499-899,1
RJ,Japeri,3302270,Austin,26463-000,26495-230,26
RJ,Japeri,3302270,Belo Horizonte,26465-090,26465-165,13
RJ,Japeri,3302270,Caramujos,26430-120,26430-130,9
RJ,Japeri,3302270,Carlos Sampaio,26493-000,26493-000,1
RJ,Japeri,3302270,Centro de Japeri,26435-205,26460-970,26
RJ,Japeri,3302270,Chacrinha,26440-500,26440-710,40
RJ,Japeri,3302270,Cidade Jardim Marajoara,26410-020,26425-310,68
RJ,Japeri,3302270,Cidade Senhor do Bonfim,26420-260,26440-060,22
RJ,Japeri,3302270,Citrópolis,26410-030,26433-250,17
RJ,Japeri,3302270,Colinas,26433-150,26440-035,6
RJ,Japeri,3302270,Cosme e Damião,26410-070,26415-390,20
RJ,Japeri,3302270,Engenheiro Pedreira,26410-270,26480-330,67
RJ,Japeri,3302270,Esperança,26440-270,26480-000,5
RJ,Japeri,3302270,Eucaliptos,26445-240,26445-420,28
RJ,Japeri,3302270,Granja Copacabana,26473-620,26473-620,1
RJ,Japeri,3302270,Granja Iguaçu,26425-204,26425-270,9
RJ,Japeri,3302270,Irmãos Unidos,26493-200,26493-200,1
RJ,Japeri,3302270,Jaceruba,26455-160,26455-160,1
RJ,Japeri,3302270,Japeri,26435-005,26470-380,37
RJ,Japeri,3302270,Jardim Aljezur,26475-080,26483-110,16
RJ,Japeri,3302270,Jardim Americano,26440-340,26443-020,5
RJ,Japeri,3302270,Jardim Delamare,26460-350,26475-290,59
RJ,Japeri,3302270,Jardim Emília,26450-220,26463-020,6
RJ,Japeri,3302270,Jardim Esperança,26450-370,26460-230,16
RJ,Japeri,3302270,Jardim Normandia,26475-530,26480-340,2
RJ,Japeri,3302270,Jardim Real,26490-310,26493-170,23
RJ,Japeri,3302270,Jardim Rio DOuro,26455-200,26480-110,8
RJ,Japeri,3302270,Jardim Santa Branca,26445-050,26475-000,20
RJ,Japeri,3302270,Jardim São Geraldo,26440-210,26440-210,1
RJ,Japeri,3302270,Jardim São João,26440-140,26480-350,16
RJ,Japeri,3302270,Jardim São Sebastião,26473-430,26483-570,33
RJ,Japeri,3302270,Jardim Transmontano,26443-160,26475-010,37
RJ,Japeri,3302270,Jardim Tri-Campeão,26480-390,26480-390,2
RJ,Japeri,3302270,Jardim Willis,26460-040,26475-360,17
RJ,Japeri,3302270,Julima,26450-240,26450-240,1
RJ,Japeri,3302270,Laranjal Santo Antônio,26473-780,26480-521,14
RJ,Japeri,3302270,Linda Vista,26455-290,26470-276,8
RJ,Japeri,3302270,Luis de Camões,26483-520,26485-010,8
